_id,TrialId,Threshold,GuessedCorrectly,GuessedIndex,CorrectIndex,Timestamp,Parameters.Resolution,Parameters.IsSymmetric,Parameters.ColorCount,Parameters.Saturation,Parameters.Lightness,Parameters.MinHueDistance,Parameters.HueSpacing,Parameters.SafeMode
0ab88f00-7bc7-4864-aecc-1fc127c63982,c51a8345-fe1a-4cbe-9240-ffa806b564b3,0.92,false,-1,3,2026-08-25T15:51:39.277Z,5,true,1,70,50,45,45,0
f8d78a59-cafc-45a0-9359-39a65b94d437,d6b25ae0-2a22-478c-adbf-2ace076b62a2,0.92,true,-1,-1,2026-08-25T15:52:28.961Z,5,true,1,70,50,45,45,0
f6563dcd-abf9-449e-8f53-71e96e817949,6683964c-89bf-40f0-8b88-3f5ae1000d03,0.96,true,2,2,2026-08-25T15:52:33.963Z,5,true,1,70,50,45,45,0
b53e96cf-808d-424c-974f-874cfb2f306f,59f678ec-b057-4e6b-9efa-8cf42e1365cd,0.96,true,-1,-1,2026-08-25T15:52:38.598Z,5,true,1,70,50,45,45,0
997fe6e4-fe59-4e55-878d-73d8505d357c,20517d1e-2eee-4f1c-a8f0-391f3027e317,0.96,false,-1,0,2026-08-25T15:52:43.390Z,5,true,1,70,50,45,45,0
ae471cb9-449c-4d98-8637-0cc672199fb5,050e0cd2-57b6-4949-af2a-96bab3e99f03,0.92,true,2,2,2026-08-25T15:52:49.357Z,5,true,1,70,50,45,45,0
5deeeea4-10df-4a8e-83e9-f9e0a11a9236,fecbdc75-bdcf-4f6e-8b18-b42aef8d1d43,0.96,false,-1,4,2026-08-25T15:52:54.041Z,5,true,1,70,50,45,45,0
37e54612-940a-4611-81ae-3222e822c261,22bb97db-0654-4e85-991b-534a3b2ad3a4,0.92,true,-1,-1,2026-08-25T15:52:59.170Z,5,true,1,70,50,45,45,0
df46495a-9876-44b8-aa6d-f05dac868e43,a55c2cee-6601-40a3-8813-c63acf10c5aa,0.96,true,1,1,2026-08-25T15:53:03.437Z,5,true,1,70,50,45,45,0
aea57744-0952-4f4c-b04a-cab8dc23b8f0,765ed7e8-3615-4e4b-8203-748575a1585b,0.96,true,-1,-1,2026-08-25T15:53:08.935Z,5,true,1,70,50,45,45,0
59c4db5d-7922-49cd-bdca-ca636525623d,b9ad8872-21b7-4316-82bc-a83189565891,0.96,false,-1,1,2026-08-25T15:53:15.355Z,5,true,1,70,50,45,45,0
c7ef34c3-6434-4cb5-a21a-29e56b6e614e,8487a562-6815-43e9-a994-f34dfc13e36e,0.92,true,-1,-1,2026-08-25T15:53:20.477Z,5,true,1,70,50,45,45,0
742f73a4-0567-4e7c-aebd-b6bcf3794418,7a10f198-808a-45a8-bc78-1f93f544d2dc,0.96,false,4,-1,2026-08-25T15:53:26.539Z,5,true,1,70,50,45,45,0
4ef632b7-3665-4abb-85b8-11047455cf8a,7d829ac6-1e54-4fda-b564-bd1f7e3737d0,0.92,true,-1,-1,2026-08-25T15:53:36.483Z,5,true,1,70,50,45,45,0
95c663cb-f1be-4c2a-940a-7098e51997fd,9cd8b97a-8852-4875-a038-df49e2085184,0.96,true,0,0,2026-08-25T15:53:41.958Z,5,true,1,70,50,45,45,0
b8e24d53-0527-4c8d-aac2-d6a9f50eab5a,c6823a97-0d7c-4b2a-ad10-18ad10bf0a3a,0.96,true,-1,-1,2026-08-25T15:53:50.337Z,5,true,1,70,50,45,45,0
f9da3d54-3ffd-40eb-97c1-738383cf28f7,fca94288-e5a9-404a-9423-3b86671eaba4,0.96,false,1,2,2026-08-25T15:53:56.569Z,5,true,1,70,50,45,45,0
578d6702-26e1-4e36-b5b8-514c79ba1784,b54780b2-4fc4-4509-896f-4417e425c6af,0.92,true,1,1,2026-08-25T15:54:01.211Z,5,true,1,70,50,45,45,0
c9f73033-0b59-4f09-bf6c-983033a63789,04ae35cf-1931-429f-a92b-44fb2b93148f,0.96,true,3,3,2026-08-25T15:54:06.401Z,5,true,1,70,50,45,45,0
88909a62-a9c4-42b5-89b1-c43a77f01422,69081992-ea9f-49e0-b7e5-000bccd94575,0.96,true,-1,-1,2026-08-25T15:54:30.456Z,5,true,1,70,50,45,45,0
eece3800-bb04-4b10-839c-f3661d40e070,bad4da26-8d2f-4094-97d2-92c3a303aaa3,0.96,true,-1,-1,2026-08-25T15:54:35.208Z,5,true,1,70,50,45,45,0
ee35453e-9ce5-4397-878e-1d2dad666010,5c8c56d3-3dc7-49d6-889d-f7ec9075856d,0.96,true,-1,-1,2026-08-25T15:54:40.303Z,5,true,1,70,50,45,45,0
7d0b15d2-b4f8-44ba-9fc0-10022f135bcb,a13ddcf5-f082-49e0-a70b-439d35171f04,0.96,true,-1,-1,2026-08-25T15:54:45.071Z,5,true,1,70,50,45,45,0
67c5431d-3bff-40c5-9aec-8c449d01de06,1eb8e14e-095a-4996-9cce-fd86e3e5654d,0.96,false,3,-1,2026-08-25T15:54:50.870Z,5,true,1,70,50,45,45,0
72edca3a-643e-4d1a-ae12-a92b2e77483d,66c8510d-cce0-4448-b82d-20bf212b41b5,0.84,true,3,3,2026-08-25T15:54:58.312Z,5,true,1,70,50,45,45,0
07c4ff05-08fc-49e1-9fa2-8e7bc84de94a,dac784e6-1b03-46bf-856e-7f7edce0117b,0.92,true,0,0,2026-08-25T15:55:03.020Z,5,true,1,70,50,45,45,0
d97d7bfe-4868-4311-8609-ff8f64cfb31d,9375ba21-86fd-4ced-b7da-63fac77d957f,0.96,true,2,2,2026-08-25T15:55:08.027Z,5,true,1,70,50,45,45,0
a3b5d45f-2a90-4267-9238-1955ebb93c54,663619ed-14a4-4fc9-a454-f1589174fd52,0.96,true,0,0,2026-08-25T15:55:13.076Z,5,true,1,70,50,45,45,0
